County,Average Home Value Index
BAKER,273425.01
BENTON,504320.72
CLACKAMAS,619169.58
CLATSOP,629707.09
COLUMBIA,463397.59
COOS,313505.60
CROOK,706838.53
CURRY,425817.69
DESCHUTES,688883.96
DOUGLAS,319151.85
GILLIAM,234668.67
GRANT,271607.51
HARNEY,193179.69
HOOD,596345.66
JACKSON,419085.11
JEFFERSON,499900.75
JOSEPHINE,387221.59
KLAMATH,260276.42
LAKE,160196.98
LANE,453038.64
LINCOLN,456577.47
LINN,432057.94
MALHEUR,284105.76
MARION,478254.73
MORROW,284996.53
MULTNOMAH,530064.48
POLK,484220.47
SHERMAN,238000.00
TILLAMOOK,506653.07
UMATILLA,287489.56
UNION,342165.54
WALLOWA,420705.32
WASCO,408625.75
WASHINGTON,583048.31
WHEELER,296727.53
YAMHILL,491803.28
